rank,candidate_id,final_score,semantic_fit_score,skills_match_score,experience_fit_score,employer_tier_score,location_fit_score,behavioral_reliability_multiplier,profile_completeness,applied_penalties,reasoning
29,CAND_0017178,0.392,0.561,0.1646,0.6,0.728,1.0,0.85,1.0,none,"Rahul Mukherjee brings 4y of ML/AI experience, most recently at Swiggy as ML Engineer. Strong hands-on match on pgvector, BM25, Information Retrieval. Based in Hyderabad, Telangana. Available in 30 days · Active GitHub contributor."
30,CAND_0010685,0.3845,0.6622,0.527,1.0,0.5772,0.65,0.6391,0.8,none,"Sunil Mishra brings 6y of ML/AI experience, most recently at Rephrase.ai as NLP Engineer. Strong hands-on match on PyTorch, Elasticsearch, RAG. Based in Kolkata, West Bengal. Available in 30 days. Note: recent inactivity."
31,CAND_0068351,0.3835,0.6468,0.4963,1.0,0.6,1.0,0.6579,0.8,none,"Aadhya Iyer brings 6y of ML/AI experience, most recently at Sarvam AI as Lead AI Engineer. Strong hands-on match on Qdrant, pgvector, Deep Learning. Based in Delhi, Delhi. Available in 0 days. Note: recent inactivity."
32,CAND_0043312,0.3828,0.6486,0.3243,0.6,0.6,1.0,0.6205,1.0,none,"Amit Ghosh brings 4y of ML/AI experience, most recently at Haptik as AI Research Engineer. Strong hands-on match on Qdrant, pgvector, RAG. Based in Noida, Uttar Pradesh. Available in 30 days · Active GitHub contributor. Note: recent inactivity."
33,CAND_0066690,0.371,0.5709,0.2663,0.6,0.5684,1.0,0.8712,1.0,consulting_penalty,"Advik Sen brings 4y of ML/AI experience, most recently at Freshworks as ML Engineer. Strong hands-on match on Pinecone, TensorFlow, pgvector. Willing to relocate from Gurgaon, Haryana. Available in 30 days · Active GitHub contributor. Note: includes consulting history."
34,CAND_0086022,0.3705,0.5536,0.7819,0.85,0.5397,1.0,0.5143,1.0,none,"Dhruv Naidu brings 5y of ML/AI experience, most recently at Sarvam AI as Senior Applied Scientist. Strong hands-on match on PyTorch, Sentence Transformers, pgvector. Willing to relocate from Kolkata, West Bengal. Available in 0 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
35,CAND_0054318,0.3677,0.7059,0.4741,0.35,0.5,0.3,0.6699,1.0,none,"Yash Goyal brings 3y of ML/AI experience, most recently at BYJU'S as AI Research Engineer. Strong hands-on match on PyTorch, FAISS, MLflow. Based in Chandigarh, Chandigarh. Available in 60 days."
36,CAND_0018888,0.3628,0.6737,0.4371,1.0,0.6895,1.0,0.55,1.0,none,"Shreya Trivedi brings 6y of ML/AI experience, most recently at Razorpay as AI Research Engineer. Strong hands-on match on Information Retrieval, FAISS, MLflow. Willing to relocate from Noida, Uttar Pradesh. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
37,CAND_0079284,0.3626,0.6653,0.4149,0.6,0.9241,1.0,0.6715,0.8,none,"Ishaan Dutta brings 4y of ML/AI experience, most recently at Google as Machine Learning Engineer. Strong hands-on match on Elasticsearch, Qdrant, scikit-learn. Based in Hyderabad, Telangana. Available in 30 days. Note: recent inactivity."
38,CAND_0060054,0.3563,0.688,0.5482,1.0,0.6355,0.85,0.602,0.8,none,"Aisha Kapoor brings 6y of ML/AI experience, most recently at Mad Street Den as AI Engineer. Strong hands-on match on TensorFlow, FAISS, Elasticsearch. Willing to relocate from Jaipur, Rajasthan. Available in 15 days. Note: recent inactivity."
39,CAND_0072688,0.3549,0.6146,0.1576,1.0,0.5366,1.0,0.6699,1.0,none,"Rajesh Goyal brings 6y of ML/AI experience, most recently at Niramai as Data Scientist. Strong hands-on match on Qdrant, Milvus, Deep Learning. Willing to relocate from Pune, Maharashtra. Available in 45 days · Active GitHub contributor."
40,CAND_0008239,0.3513,0.6704,0.5778,0.6,0.5,0.85,0.5059,1.0,none,"Advik Iyer brings 4y of ML/AI experience, most recently at Apple as AI Engineer. Strong hands-on match on Milvus, PyTorch, scikit-learn. Willing to relocate from Jaipur, Rajasthan. Available in 15 days · Active GitHub contributor. Note: recent inactivity."
41,CAND_0093912,0.351,0.6399,0.3438,0.85,0.7226,0.3,0.6171,1.0,none,"Advik Sethi brings 5y of ML/AI experience, most recently at Razorpay as Senior Data Scientist. Strong hands-on match on Elasticsearch, Milvus, FastAPI. Based in Chandigarh, Chandigarh. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
42,CAND_0033179,0.3497,0.6823,0.3731,1.0,0.6524,0.85,0.8316,0.8,consulting_penalty,"Yash Subramanian brings 6y of ML/AI experience, most recently at Wipro as AI Research Engineer. Strong hands-on match on scikit-learn, Information Retrieval, FastAPI. Willing to relocate from Ahmedabad, Gujarat. Available in 30 days. Note: includes consulting history."
43,CAND_0046459,0.3495,0.6371,0.328,0.6,0.4292,1.0,0.7854,1.0,consulting_penalty,"Rohan Patel brings 4y of ML/AI experience, most recently at upGrad as AI Research Engineer. Strong hands-on match on BM25, Qdrant, RAG. Based in Pune, Maharashtra. Available in 30 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
44,CAND_0016659,0.3401,0.6236,0.4362,0.6,0.6538,0.3,0.6168,0.85,none,"Priya Dalal brings 4y of ML/AI experience, most recently at Glance as ML Engineer. Strong hands-on match on Weaviate, scikit-learn, FAISS. Based in Coimbatore, Tamil Nadu. Available in 45 days · Active GitHub contributor."
45,CAND_0066999,0.3372,0.5983,0.4,0.85,0.6,1.0,0.5891,1.0,none,"Riya Dalal brings 5y of ML/AI experience, most recently at Microsoft as Recommendation Systems Engineer. Strong hands-on match on FAISS, BM25, Information Retrieval. Willing to relocate from Delhi, Delhi. Available in 15 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
46,CAND_0038368,0.3363,0.6279,0.2873,0.85,0.8938,1.0,0.578,1.0,none,"Suresh Reddy brings 5y of ML/AI experience, most recently at PhonePe as ML Engineer. Strong hands-on match on MLflow, FAISS, BM25. Based in Hyderabad, Telangana. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
47,CAND_0037566,0.3348,0.6523,0.6667,1.0,0.6,1.0,0.4675,1.0,none,"Ritu Nair brings 6y of ML/AI experience, most recently at LinkedIn as Machine Learning Engineer. Strong hands-on match on TensorFlow, Pinecone, Elasticsearch. Willing to relocate from Bangalore, Karnataka. Available in 15 days · Active GitHub contributor. Note: lower recruiter responsiveness."
48,CAND_0044213,0.3342,0.6097,0.2284,0.35,0.6,1.0,0.6168,1.0,none,"Yash Kapoor brings 3y of ML/AI experience, most recently at Haptik as AI Specialist. Strong hands-on match on Deep Learning, scikit-learn, Information Retrieval. Willing to relocate from Bangalore, Karnataka. Available in 45 days · Active GitHub contributor."
49,CAND_0076163,0.3314,0.6294,0.47,1.0,0.5439,0.3,0.5498,1.0,none,"Nikhil Mittal brings 6y of ML/AI experience, most recently at Ola as NLP Engineer. Strong hands-on match on BM25, Elasticsearch, PyTorch. Based in Chandigarh, Chandigarh. Available in 60 days · Active GitHub contributor."
50,CAND_0004402,0.3287,0.6721,0.1915,1.0,0.7099,1.0,0.6391,0.8,none,"Priya Malhotra brings 6y of ML/AI experience, most recently at Yellow.ai as AI Research Engineer. Strong hands-on match on PyTorch, Qdrant, Sentence Transformers. Based in Delhi, Delhi. Available in 60 days."
51,CAND_0077837,0.325,0.5545,0.3153,0.6,0.8684,1.0,0.63,1.0,none,"Zara Bansal brings 4y of ML/AI experience, most recently at Acme Corp as Senior Data Engineer. Strong hands-on match on Information Retrieval, Deep Learning, scikit-learn. Willing to relocate from Chennai, Tamil Nadu. Available in 30 days."
52,CAND_0075249,0.3211,0.6809,0.5722,1.0,0.6459,0.3,0.483,1.0,none,"Ishaan Arora brings 6y of ML/AI experience, most recently at Zomato as Applied ML Engineer. Strong hands-on match on Pinecone, Milvus, Sentence Transformers. Based in Ahmedabad, Gujarat. Available in 45 days · Active GitHub contributor. Note: recent inactivity."
53,CAND_0037160,0.3209,0.6662,0.1556,1.0,0.5261,1.0,0.6919,1.0,consulting_penalty,"Riya Chatterjee brings 6y of ML/AI experience, most recently at Haptik as Data Scientist. Strong hands-on match on Weaviate, Deep Learning, MLflow. Based in Mumbai, Maharashtra. Available in 30 days. Note: includes consulting history, recent inactivity."
54,CAND_0041669,0.3178,0.6012,0.414,1.0,0.7558,1.0,0.504,1.0,none,"Aisha Banerjee brings 8y of ML/AI experience, most recently at CRED as Recommendation Systems Engineer. Strong hands-on match on Milvus, Information Retrieval, FAISS. Based in Noida, Uttar Pradesh. Available in 60 days · Active GitHub contributor. Note: recent inactivity."
55,CAND_0045027,0.317,0.6527,0.4005,0.35,0.6457,0.85,0.56,1.0,none,"Nisha Tiwari brings 3y of ML/AI experience, most recently at Paytm as Senior Software Engineer (ML). Strong hands-on match on Milvus, RAG, Docker. Willing to relocate from Ahmedabad, Gujarat. Available in 60 days · Active GitHub contributor."
56,CAND_0041610,0.3134,0.6215,0.5482,1.0,0.5987,0.85,0.4862,1.0,none,"Anil Subramanian brings 6y of ML/AI experience, most recently at Zoho as Recommendation Systems Engineer. Strong hands-on match on Elasticsearch, scikit-learn, BM25. Willing to relocate from Indore, Madhya Pradesh. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
57,CAND_0073007,0.3134,0.6618,0.3408,0.85,0.6,0.65,0.5432,1.0,none,"Ayaan Saxena brings 5y of ML/AI experience, most recently at Aganitha as AI Specialist. Strong hands-on match on MLflow, pgvector, FAISS. Based in Bangalore, Karnataka. Available in 60 days · Active GitHub contributor."
58,CAND_0070930,0.3121,0.6452,0.4441,0.35,1.0,0.85,0.4879,1.0,none,"Zara Trivedi brings 3y of ML/AI experience, most recently at CRED as Data Scientist. Strong hands-on match on pgvector, BM25, Weaviate. Willing to relocate from Ahmedabad, Gujarat. Available in 45 days · Active GitHub contributor. Note: recent inactivity."
59,CAND_0043381,0.3074,0.696,0.3153,0.35,0.5,1.0,0.5105,1.0,none,"Riya Sharma brings 3y of ML/AI experience, most recently at PharmEasy as AI Research Engineer. Strong hands-on match on scikit-learn, MLflow, Pinecone. Based in Pune, Maharashtra. Available in 45 days · Active GitHub contributor."
60,CAND_0002793,0.3067,0.6904,0.398,0.85,0.5,0.3,0.539,1.0,none,"Rajesh Mittal brings 5y of ML/AI experience, most recently at Meesho as AI Specialist. Strong hands-on match on Information Retrieval, pgvector, MLflow. Based in Trivandrum, Kerala. Available in 30 days · Active GitHub contributor. Note: recent inactivity."
61,CAND_0073504,0.3064,0.6117,0.5556,1.0,0.4551,1.0,0.5105,1.0,consulting_penalty,"Pranav Pillai brings 6y of ML/AI experience, most recently at PolicyBazaar as Junior ML Engineer. Strong hands-on match on MLflow, pgvector, TensorFlow. Based in Gurgaon, Haryana. Available in 60 days · Active GitHub contributor. Note: includes consulting history, recent inactivity."
62,CAND_0046525,0.3063,0.611,0.6107,1.0,0.3699,1.0,0.6776,1.0,consulting_penalty,"Tanvi Mukherjee brings 6y of ML/AI experience, most recently at Genpact AI as Senior Machine Learning Engineer. Strong hands-on match on Sentence Transformers, Information Retrieval, Qdrant. Willing to relocate from Pune, Maharashtra. Available in 60 days · Active GitHub contributor. Note: includes consulting history."
63,CAND_0071974,0.3058,0.6232,0.5482,1.0,0.6674,0.3,0.4974,1.0,none,"Sai Verma brings 7y of ML/AI experience, most recently at Netflix as Senior AI Engineer. Strong hands-on match on Elasticsearch, Qdrant, Weaviate. Based in Vizag, Andhra Pradesh. Available in 45 days · Active GitHub contributor. Note: recent inactivity."
64,CAND_0049540,0.3054,0.6305,0.4149,1.0,0.4259,0.3,0.6622,0.8,consulting_penalty,"Pranav Iyer brings 6y of ML/AI experience, most recently at Saarthi.ai as ML Engineer. Strong hands-on match on MLflow, Deep Learning, Sentence Transformers. Based in Trivandrum, Kerala. Available in 60 days. Note: includes consulting history."
65,CAND_0054100,0.3033,0.6724,0.2255,1.0,0.5958,0.65,0.5475,0.85,none,"Aanya Patel brings 6y of ML/AI experience, most recently at Zoho as Junior ML Engineer. Strong hands-on match on Deep Learning, Weaviate, Pinecone. Based in Kolkata, West Bengal. Available in 60 days · Active GitHub contributor."
66,CAND_0053605,0.3016,0.5294,0.2597,1.0,0.4378,1.0,0.8712,0.8,consulting_penalty,"Myra Mishra brings 6y of ML/AI experience, most recently at Verloop.io as Senior Software Engineer (ML). Strong hands-on match on RAG, pgvector, BM25. Based in Noida, Uttar Pradesh. Available in 30 days. Note: includes consulting history."
67,CAND_0042506,0.2946,0.6685,0.5482,0.6,0.536,1.0,0.4752,1.0,none,"Zara Pandey brings 4y of ML/AI experience, most recently at Verloop.io as Search Engineer. Strong hands-on match on Information Retrieval, Deep Learning, TensorFlow. Based in Mumbai, Maharashtra. Available in 15 days · Active GitHub contributor. Note: lower recruiter responsiveness."
68,CAND_0054394,0.2929,0.6118,0.3293,0.6,0.5,1.0,0.5386,1.0,none,"Ela Iyengar brings 4y of ML/AI experience, most recently at PharmEasy as Recommendation Systems Engineer. Strong hands-on match on scikit-learn, Pinecone, MLflow. Based in Pune, Maharashtra. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
69,CAND_0037980,0.2915,0.5758,0.4963,0.85,0.6,1.0,0.5301,1.0,none,"Reyansh Chowdary brings 9y of ML/AI experience, most recently at Niramai as Senior Applied Scientist. Strong hands-on match on BM25, PyTorch, pgvector. Willing to relocate from Kolkata, West Bengal. Available in 0 days. Note: lower recruiter responsiveness, recent inactivity."
70,CAND_0005260,0.2907,0.6263,0.5293,0.85,0.5443,1.0,0.5117,0.8,none,"Mira Ghosh brings 5y of ML/AI experience, most recently at Netflix as Senior NLP Engineer. Strong hands-on match on Deep Learning, RAG, Information Retrieval. Willing to relocate from Chennai, Tamil Nadu. Available in 60 days."
71,CAND_0057563,0.2873,0.6455,0.3482,1.0,0.6,0.85,0.4938,1.0,none,"Om Trivedi brings 6y of ML/AI experience, most recently at Locobuzz as NLP Engineer. Strong hands-on match on RAG, Elasticsearch, Deep Learning. Willing to relocate from Indore, Madhya Pradesh. Available in 60 days · Active GitHub contributor."
72,CAND_0055992,0.2866,0.7253,0.6667,0.1,0.665,0.6,0.4712,1.0,none,"Deepak Bansal brings 16y of ML/AI experience, most recently at CRED as AI Engineer. Strong hands-on match on FAISS, Deep Learning, Milvus. Willing to relocate from Sydney. Available in 60 days · Active GitHub contributor. Note: recent inactivity."
73,CAND_0007009,0.2843,0.6229,0.3134,1.0,0.5149,1.0,0.4774,1.0,none,"Anika Pillai brings 7y of ML/AI experience, most recently at Wysa as Recommendation Systems Engineer. Strong hands-on match on BM25, Sentence Transformers, Weaviate. Based in Noida, Uttar Pradesh. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
74,CAND_0024990,0.2827,0.6562,0.3301,0.85,0.5139,0.3,0.5752,1.0,consulting_penalty,"Aarav Mehta brings 5y of ML/AI experience, most recently at Zoho as Junior ML Engineer. Strong hands-on match on Elasticsearch, MLflow, Milvus. Based in Trivandrum, Kerala. Available in 60 days · Active GitHub contributor. Note: includes consulting history."
75,CAND_0077498,0.2808,0.6098,0.3358,0.85,0.4797,0.3,0.6168,1.0,consulting_penalty,"Aarav Kapoor brings 5y of ML/AI experience, most recently at Niramai as Senior Software Engineer (ML). Strong hands-on match on BM25, Elasticsearch, Milvus. Based in Ahmedabad, Gujarat. Available in 60 days · Active GitHub contributor. Note: includes consulting history."
76,CAND_0067866,0.2797,0.617,0.4182,1.0,0.475,1.0,0.6083,1.0,consulting_penalty,"Kiara Sethi brings 6y of ML/AI experience, most recently at Tech Mahindra as Senior Software Engineer (ML). Strong hands-on match on pgvector, Elasticsearch, MLflow. Willing to relocate from Noida, Uttar Pradesh. Available in 45 days · Active GitHub contributor. Note: includes consulting history."
77,CAND_0054123,0.2777,0.6498,0.2,0.6,1.0,1.0,0.5176,1.0,none,"Tanvi Banerjee brings 4y of ML/AI experience, most recently at Meta as Applied ML Engineer. Strong hands-on match on pgvector, Qdrant, Weaviate. Based in Gurgaon, Haryana. Available in 60 days · Active GitHub contributor."
78,CAND_0010080,0.2748,0.614,0.1049,1.0,0.5,0.85,0.5202,1.0,none,"Ayaan Nair brings 7y of ML/AI experience, most recently at Globex Inc as Civil Engineer. Strong hands-on match on Pinecone, FAISS, Kubernetes. Willing to relocate from Vizag, Andhra Pradesh. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
79,CAND_0096801,0.274,0.6353,0.3185,0.6,0.898,0.65,0.5329,1.0,none,"Aisha Gupta brings 4y of ML/AI experience, most recently at CRED as AI Research Engineer. Strong hands-on match on FAISS, Weaviate, TensorFlow. Based in Kolkata, West Bengal. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
80,CAND_0042029,0.2726,0.6652,0.5185,1.0,0.6923,1.0,0.3987,1.0,none,"Dhruv Joshi brings 6y of ML/AI experience, most recently at Flipkart as Senior Data Scientist. Strong hands-on match on PyTorch, Deep Learning, RAG. Willing to relocate from Delhi, Delhi. Available in 45 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
81,CAND_0001206,0.2719,0.5993,0.1103,0.85,0.5615,1.0,0.5202,1.0,none,"Kabir Nair brings 8y of ML/AI experience, most recently at Initech as Civil Engineer. Strong hands-on match on FAISS, Docker, Information Retrieval. Willing to relocate from Pune, Maharashtra. Available in 30 days · Active GitHub contributor. Note: lower recruiter responsiveness."
82,CAND_0020350,0.2701,0.7101,0.4149,0.85,0.5348,0.3,0.5423,0.8,none,"Tanya Reddy brings 5y of ML/AI experience, most recently at Zoho as AI Engineer. Strong hands-on match on BM25, Sentence Transformers, FAISS. Based in Jaipur, Rajasthan. Available in 30 days. Note: lower recruiter responsiveness, recent inactivity."
83,CAND_0087364,0.2681,0.6479,0.6556,0.6,0.5776,1.0,0.408,1.0,none,"Pari Rao brings 4y of ML/AI experience, most recently at Glance as Recommendation Systems Engineer. Strong hands-on match on scikit-learn, Elasticsearch, RAG. Based in Gurgaon, Haryana. Available in 30 days. Note: lower recruiter responsiveness."
84,CAND_0020877,0.2675,0.6273,0.6,0.85,0.8167,1.0,0.3927,1.0,none,"Anil Rao brings 5y of ML/AI experience, most recently at CRED as Applied ML Engineer. Strong hands-on match on scikit-learn, Deep Learning, Information Retrieval. Willing to relocate from Gurgaon, Haryana. Available in 60 days · Active GitHub contributor. Note: lower recruiter responsiveness, recent inactivity."
85,CAND_0029367,0.2654,0.6596,0.7611,0.85,0.6119,0.65,0.3388,1.0,none,"Yash Malhotra brings 5y of ML/AI experience, most recently at Rephrase.ai as Senior Data Scientist. Strong hands-on match on Sentence Transformers, FAISS, RAG. Based in Bangalore, Karnataka. Available in 90 days · Active GitHub contributor. Note: longer notice period."
